"","ensembl_gene_id","hgnc_symbol","description","gene_biotype"
"167","ENSG00000007129","CEACAM21","CEA cell adhesion molecule 21","protein_coding"
"168","ENSG00000007168","PAFAH1B1","platelet activating factor acetylhydrolase 1b regulatory subunit 1","protein_coding"
"169","ENSG00000007171","NOS2","nitric oxide synthase 2","protein_coding"
"170","ENSG00000007174","DNAH9","dynein axonemal heavy chain 9","protein_coding"
"171","ENSG00000007202","BLTP2","bridge-like lipid transfer protein family member 2","protein_coding"
"172","ENSG00000007216","SLC13A2","solute carrier family 13 member 2","protein_coding"
"173","ENSG00000007237","GAS7","growth arrest specific 7","protein_coding"
"174","ENSG00000007255","TRAPPC6A","trafficking protein particle complex subunit 6A","protein_coding"
"175","ENSG00000007264","MATK","megakaryocyte-associated tyrosine kinase","protein_coding"
"176","ENSG00000007306","CEACAM7","CEA cell adhesion molecule 7","protein_coding"
"177","ENSG00000007312","CD79B","CD79b molecule","protein_coding"
"178","ENSG00000007314","SCN4A","sodium voltage-gated channel alpha subunit 4","protein_coding"
"179","ENSG00000007341","ST7L","suppression of tumorigenicity 7 like","protein_coding"
"180","ENSG00000007350","TKTL1","transketolase like 1","protein_coding"
"181","ENSG00000007372","PAX6","paired box 6","protein_coding"
"182","ENSG00000007376","RPUSD1","RNA pseudouridine synthase domain containing 1","protein_coding"
"183","ENSG00000007384","RHBDF1","rhomboid 5 homolog 1","protein_coding"
"184","ENSG00000007392","LUC7L","LUC7 like","protein_coding"
"185","ENSG00000007402","CACNA2D2","calcium voltage-gated channel auxiliary subunit alpha2delta 2","protein_coding"
"186","ENSG00000007516","BAIAP3","BAI1 associated protein 3","protein_coding"
"187","ENSG00000007520","TSR3","TSR3 ribosome maturation factor","protein_coding"
"188","ENSG00000007541","PIGQ","phosphatidylinositol glycan anchor biosynthesis class Q","protein_coding"
"189","ENSG00000007545","CRAMP1","cramped chromatin regulator homolog 1","protein_coding"
"190","ENSG00000007866","TEAD3","TEA domain transcription factor 3","protein_coding"
"191","ENSG00000007908","SELE","selectin E","protein_coding"
"192","ENSG00000007923","DNAJC11","DnaJ heat shock protein family (Hsp40) member C11","protein_coding"
"193","ENSG00000007933","FMO3","flavin containing dimethylaniline monoxygenase 3","protein_coding"
"194","ENSG00000007944","MYLIP","myosin regulatory light chain interacting protein","protein_coding"
"195","ENSG00000007952","NOX1","NADPH oxidase 1","protein_coding"
"196","ENSG00000007968","E2F2","E2F transcription factor 2","protein_coding"
"197","ENSG00000008018","PSMB1","proteasome 20S subunit beta 1","protein_coding"
"198","ENSG00000008056","SYN1","synapsin I","protein_coding"
"199","ENSG00000008083","JARID2","jumonji and AT-rich interaction domain containing 2","protein_coding"
"200","ENSG00000008086","CDKL5","cyclin dependent kinase like 5","protein_coding"
"201","ENSG00000008118","CAMK1G","calcium/calmodulin dependent protein kinase IG","protein_coding"
"202","ENSG00000008128","CDK11A","cyclin dependent kinase 11A","protein_coding"
"203","ENSG00000008130","NADK","NAD kinase","protein_coding"
"204","ENSG00000008196","TFAP2B","transcription factor AP-2 beta","protein_coding"
"205","ENSG00000008197","TFAP2D","transcription factor AP-2 delta","protein_coding"
"206","ENSG00000008226","DLEC1","DLEC1 cilia and flagella associated protein","protein_coding"
"207","ENSG00000008256","CYTH3","cytohesin 3","protein_coding"
"208","ENSG00000008277","ADAM22","ADAM metallopeptidase domain 22","protein_coding"
"209","ENSG00000008282","SYPL1","synaptophysin like 1","protein_coding"
"210","ENSG00000008283","CYB561","cytochrome b561","protein_coding"
"211","ENSG00000008294","SPAG9","sperm associated antigen 9","protein_coding"
"212","ENSG00000008300","CELSR3","cadherin EGF LAG seven-pass G-type receptor 3","protein_coding"
"213","ENSG00000008311","AASS","aminoadipate-semialdehyde synthase","protein_coding"
"214","ENSG00000008323","PLEKHG6","pleckstrin homology and RhoGEF domain containing G6","protein_coding"
"215","ENSG00000008324","SS18L2","SS18 like 2","protein_coding"
"216","ENSG00000008382","MPND","MPN domain containing","protein_coding"
"217","ENSG00000008394","MGST1","microsomal glutathione S-transferase 1","protein_coding"
"218","ENSG00000008405","CRY1","cryptochrome circadian regulator 1","protein_coding"
"219","ENSG00000008438","PGLYRP1","peptidoglycan recognition protein 1","protein_coding"
"220","ENSG00000008441","NFIX","nuclear factor I X","protein_coding"
"221","ENSG00000008513","ST3GAL1","ST3 beta-galactoside alpha-2,3-sialyltransferase 1","protein_coding"
"222","ENSG00000008516","MMP25","matrix metallopeptidase 25","protein_coding"
"223","ENSG00000008517","IL32","interleukin 32","protein_coding"
"224","ENSG00000008710","PKD1","polycystin 1, transient receptor potential channel interacting","protein_coding"
"225","ENSG00000008735","MAPK8IP2","mitogen-activated protein kinase 8 interacting protein 2","protein_coding"
"226","ENSG00000008838","MED24","mediator complex subunit 24","protein_coding"
"227","ENSG00000008853","RHOBTB2","Rho related BTB domain containing 2","protein_coding"
"228","ENSG00000008869","HEATR5B","HEAT repeat containing 5B","protein_coding"
"229","ENSG00000008952","SEC62","SEC62 homolog, preprotein translocation factor","protein_coding"
"230","ENSG00000008988","RPS20","ribosomal protein S20","protein_coding"
"231","ENSG00000009307","CSDE1","cold shock domain containing E1","protein_coding"
"232","ENSG00000009335","UBE3C","ubiquitin protein ligase E3C","protein_coding"
"233","ENSG00000009413","REV3L","REV3 like, DNA directed polymerase zeta catalytic subunit","protein_coding"
"234","ENSG00000009694","TENM1","teneurin transmembrane protein 1","protein_coding"
"235","ENSG00000009709","PAX7","paired box 7","protein_coding"
"236","ENSG00000009724","MASP2","MBL associated serine protease 2","protein_coding"
"237","ENSG00000009765","IYD","iodotyrosine deiodinase","protein_coding"
"238","ENSG00000009780","FAM76A","family with sequence similarity 76 member A","protein_coding"
"239","ENSG00000009790","TRAF3IP3","TRAF3 interacting protein 3","protein_coding"
"240","ENSG00000009830","POMT2","protein O-mannosyltransferase 2","protein_coding"
"241","ENSG00000009844","VTA1","vesicle trafficking 1","protein_coding"
"242","ENSG00000009950","MLXIPL","MLX interacting protein like","protein_coding"
"243","ENSG00000009954","BAZ1B","bromodomain adjacent to zinc finger domain 1B","protein_coding"
"244","ENSG00000010017","RANBP9","RAN binding protein 9","protein_coding"
"245","ENSG00000010030","ETV7","ETS variant transcription factor 7","protein_coding"
"246","ENSG00000010072","SPRTN","SprT-like N-terminal domain","protein_coding"
"247","ENSG00000010165","METTL13","methyltransferase 13, eEF1A lysine and N-terminal methyltransferase","protein_coding"
"248","ENSG00000010219","DYRK4","dual specificity tyrosine phosphorylation regulated kinase 4","protein_coding"
"249","ENSG00000010244","ZNF207","zinc finger protein 207","protein_coding"
"250","ENSG00000010256","UQCRC1","ubiquinol-cytochrome c reductase core protein 1","protein_coding"
"251","ENSG00000010270","STARD3NL","STARD3 N-terminal like","protein_coding"
"252","ENSG00000010278","CD9","CD9 molecule","protein_coding"
"253","ENSG00000010282","HHATL","hedgehog acyltransferase like","protein_coding"
"254","ENSG00000010292","NCAPD2","non-SMC condensin I complex subunit D2","protein_coding"
"255","ENSG00000010295","IFFO1","intermediate filament family orphan 1","protein_coding"
"256","ENSG00000010310","GIPR","gastric inhibitory polypeptide receptor","protein_coding"
"257","ENSG00000010318","PHF7","PHD finger protein 7","protein_coding"
"258","ENSG00000010319","SEMA3G","semaphorin 3G","protein_coding"
"259","ENSG00000010322","NISCH","nischarin","protein_coding"
"260","ENSG00000010327","STAB1","stabilin 1","protein_coding"
"261","ENSG00000010361","FUZ","fuzzy planar cell polarity protein","protein_coding"
"262","ENSG00000010379","SLC6A13","solute carrier family 6 member 13","protein_coding"
"263","ENSG00000010404","IDS","iduronate 2-sulfatase","protein_coding"
"264","ENSG00000010438","PRSS3","serine protease 3","protein_coding"
"265","ENSG00000010539","ZNF200","zinc finger protein 200","protein_coding"
"266","ENSG00000010610","CD4","CD4 molecule","protein_coding"
"267","ENSG00000010626","LRRC23","leucine rich repeat containing 23","protein_coding"
"268","ENSG00000010671","BTK","Bruton tyrosine kinase","protein_coding"
"269","ENSG00000010704","HFE","homeostatic iron regulator","protein_coding"
"270","ENSG00000010803","SCMH1","Scm polycomb group protein homolog 1","protein_coding"
"271","ENSG00000010810","FYN","FYN proto-oncogene, Src family tyrosine kinase","protein_coding"
"272","ENSG00000010818","HIVEP2","HIVEP zinc finger 2","protein_coding"
"273","ENSG00000010932","FMO1","flavin containing dimethylaniline monoxygenase 1","protein_coding"
"274","ENSG00000011007","ELOA","elongin A","protein_coding"
"275","ENSG00000011009","LYPLA2","lysophospholipase 2","protein_coding"
"276","ENSG00000011021","CLCN6","chloride voltage-gated channel 6","protein_coding"
"277","ENSG00000011028","MRC2","mannose receptor C type 2","protein_coding"
"278","ENSG00000011052","NME1-NME2","NME1-NME2 readthrough","protein_coding"
"279","ENSG00000011083","SLC6A7","solute carrier family 6 member 7","protein_coding"
"280","ENSG00000011105","TSPAN9","tetraspanin 9","protein_coding"
"281","ENSG00000011114","BTBD7","BTB domain containing 7","protein_coding"
"282","ENSG00000011132","APBA3","amyloid beta precursor protein binding family A member 3","protein_coding"
"283","ENSG00000011143","MKS1","MKS transition zone complex subunit 1","protein_coding"
"284","ENSG00000011198","ABHD5","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase","protein_coding"
"285","ENSG00000011201","ANOS1","anosmin 1","protein_coding"
"286","ENSG00000011243","AKAP8L","A-kinase anchoring protein 8 like","protein_coding"
"287","ENSG00000011258","MBTD1","mbt domain containing 1","protein_coding"
"288","ENSG00000011260","UTP18","UTP18 small subunit processome component","protein_coding"
"289","ENSG00000011275","RNF216","ring finger protein 216","protein_coding"
"290","ENSG00000011295","TTC19","tetratricopeptide repeat domain 19","protein_coding"
"291","ENSG00000011304","PTBP1","polypyrimidine tract binding protein 1","protein_coding"
"292","ENSG00000011332","DPF1","double PHD fingers 1","protein_coding"
"293","ENSG00000011347","SYT7","synaptotagmin 7","protein_coding"
"294","ENSG00000011376","LARS2","leucyl-tRNA synthetase 2, mitochondrial","protein_coding"
"295","ENSG00000011405","PIK3C2A","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha","protein_coding"
"296","ENSG00000011422","PLAUR","plasminogen activator, urokinase receptor","protein_coding"
"297","ENSG00000011426","ANLN","anillin, actin binding protein","protein_coding"
"298","ENSG00000011451","WIZ","WIZ zinc finger","protein_coding"
"299","ENSG00000011454","RABGAP1","RAB GTPase activating protein 1","protein_coding"
"300","ENSG00000011465","DCN","decorin","protein_coding"
"301","ENSG00000011478","QPCTL","glutaminyl-peptide cyclotransferase like","protein_coding"
"302","ENSG00000011485","PPP5C","protein phosphatase 5 catalytic subunit","protein_coding"
"303","ENSG00000011523","CEP68","centrosomal protein 68","protein_coding"
"304","ENSG00000011566","MAP4K3","mitogen-activated protein kinase kinase kinase kinase 3","protein_coding"
"305","ENSG00000011590","ZBTB32","zinc finger and BTB domain containing 32","protein_coding"
"306","ENSG00000011600","TYROBP","transmembrane immune signaling adaptor TYROBP","protein_coding"
"307","ENSG00000011638","LDAF1","lipid droplet assembly factor 1","protein_coding"
"308","ENSG00000011677","GABRA3","gamma-aminobutyric acid type A receptor subunit alpha3","protein_coding"
"309","ENSG00000012048","BRCA1","BRCA1 DNA repair associated","protein_coding"
"310","ENSG00000012061","ERCC1","ERCC excision repair 1, endonuclease non-catalytic subunit","protein_coding"
"311","ENSG00000012124","CD22","CD22 molecule","protein_coding"
"312","ENSG00000012171","SEMA3B","semaphorin 3B","protein_coding"
"313","ENSG00000012174","MBTPS2","membrane bound transcription factor peptidase, site 2","protein_coding"
"314","ENSG00000012211","PRICKLE3","prickle planar cell polarity protein 3","protein_coding"
"315","ENSG00000012223","LTF","lactotransferrin","protein_coding"
"316","ENSG00000012232","EXTL3","exostosin like glycosyltransferase 3","protein_coding"
"317","ENSG00000012504","NR1H4","nuclear receptor subfamily 1 group H member 4","protein_coding"
"318","ENSG00000012660","ELOVL5","ELOVL fatty acid elongase 5","protein_coding"
"319","ENSG00000012779","ALOX5","arachidonate 5-lipoxygenase","protein_coding"
"320","ENSG00000012817","KDM5D","lysine demethylase 5D","protein_coding"
"321","ENSG00000012822","CALCOCO1","calcium binding and coiled-coil domain 1","protein_coding"
"322","ENSG00000012963","UBR7","ubiquitin protein ligase E3 component n-recognin 7","protein_coding"
"323","ENSG00000012983","MAP4K5","mitogen-activated protein kinase kinase kinase kinase 5","protein_coding"
"324","ENSG00000013016","EHD3","EH domain containing 3","protein_coding"
"325","ENSG00000013275","PSMC4","proteasome 26S subunit, ATPase 4","protein_coding"
"326","ENSG00000013288","MAN2B2","mannosidase alpha class 2B member 2","protein_coding"
"327","ENSG00000013293","SLC7A14","solute carrier family 7 member 14","protein_coding"
"328","ENSG00000013297","CLDN11","claudin 11","protein_coding"
"329","ENSG00000013306","SLC25A39","solute carrier family 25 member 39","protein_coding"
"330","ENSG00000013364","MVP","major vault protein","protein_coding"
"331","ENSG00000013374","NUB1","negative regulator of ubiquitin like proteins 1","protein_coding"
"332","ENSG00000013375","PGM3","phosphoglucomutase 3","protein_coding"
"333","ENSG00000013392","RWDD2A","RWD domain containing 2A","protein_coding"
"334","ENSG00000013441","CLK1","CDC like kinase 1","protein_coding"
"335","ENSG00000013503","POLR3B","RNA polymerase III subunit B","protein_coding"
"336","ENSG00000013523","ANGEL1","angel homolog 1","protein_coding"
"337","ENSG00000013561","RNF14","ring finger protein 14","protein_coding"
"338","ENSG00000013563","DNASE1L1","deoxyribonuclease 1 like 1","protein_coding"
"339","ENSG00000013573","DDX11","DEAD/H-box helicase 11","protein_coding"
"340","ENSG00000013583","HEBP1","heme binding protein 1","protein_coding"
"341","ENSG00000013588","GPRC5A","G protein-coupled receptor class C group 5 member A","protein_coding"
"342","ENSG00000013619","MAMLD1","mastermind like domain containing 1","protein_coding"
"343","ENSG00000013725","CD6","CD6 molecule","protein_coding"
"344","ENSG00000013810","TACC3","transforming acidic coiled-coil containing protein 3","protein_coding"
"345","ENSG00000014123","UFL1","UFM1 specific ligase 1","protein_coding"
"346","ENSG00000014138","POLA2","DNA polymerase alpha 2, accessory subunit","protein_coding"
"347","ENSG00000014164","ZC3H3","zinc finger CCCH-type containing 3","protein_coding"
"348","ENSG00000014216","CAPN1","calpain 1","protein_coding"
"349","ENSG00000014257","ACP3","acid phosphatase 3","protein_coding"
"350","ENSG00000014641","MDH1","malate dehydrogenase 1","protein_coding"
"351","ENSG00000014824","SLC30A9","solute carrier family 30 member 9","protein_coding"
"352","ENSG00000014914","MTMR11","myotubularin related protein 11","protein_coding"
"353","ENSG00000014919","COX15","cytochrome c oxidase assembly homolog COX15","protein_coding"
"354","ENSG00000015133","CCDC88C","coiled-coil domain containing 88C","protein_coding"
